name,department,email,salary,years_at_company,start_date
Nicholas Maldonado,CEO,nicholas.maldonado@polars.io,250000,9,2016-07-14
Michael Fletcher,Operations,michael.fletcher@polars.io,96540,9,2016-02-13
Jeffrey Tanner,,jeffrey.tanner@polars.io,126489,10,2015-03-01
Diana Weaver,HR,diana.weaver@polars.io,84672,5,2019-11-25
Sierra Ross,,sierra.ross@polars.io,148601,7,2018-02-14
Melissa Page,Marketing,melissa.page@polars.io,114120,9,2015-12-28
Martin Adams,,martin.adams@polars.io,61705,0,2024-10-28
Jessica Hill,Marketing,jessica.hill@polars.io,135265,5,2019-10-04
Matthew Garcia,Marketing,matthew.garcia@polars.io,118913,9,2016-02-25
Gregory Ward,,gregory.ward@polars.io,134169,7,2018-06-16
Brian Cooper,Engineering,brian.cooper@polars.io,156239,10,2015-02-03
Christopher Hurst,Finance,christopher.hurst@polars.io,156291,4,2020-08-16
Gregory Flores,Marketing,gregory.flores@polars.io,138482,10,2015-02-17
John Reynolds,Operations,john.reynolds@polars.io,89825,8,2017-03-17
Brandi Medina,Sales,brandi.medina@polars.io,81482,10,2015-02-06
Robert Brown,Marketing,robert.brown@polars.io,89170,0,2024-08-15
Kaitlin Garza,,kaitlin.garza@polars.io,79372,4,2020-12-15
Rhonda Grimes,HR,rhonda.grimes@polars.io,85445,0,2024-09-21
Brianna Harris,Marketing,brianna.harris@polars.io,117489,3,2022-01-23
Daniel Price,Marketing,daniel.price@polars.io,126751,3,2021-07-31
Kathryn Williams,,kathryn.williams@polars.io,86177,10,2015-01-17
Alicia Mueller,,alicia.mueller@polars.io,74673,2,2022-08-15
Wendy Thomas,,wendy.thomas@polars.io,66870,4,2021-05-29
Donald Smith,HR,donald.smith@polars.io,68384,4,2020-10-04
Kimberly Lopez,Finance,kimberly.lopez@polars.io,143995,10,2015-01-29
Mrs. Rhonda Hodges,Marketing,mrs..hodges@polars.io,85852,3,2022-01-17
Kaitlyn Young,Operations,kaitlyn.young@polars.io,128772,4,2020-12-14
Penny Silva,Finance,penny.silva@polars.io,163426,5,2020-03-06
Daniel Hunter,,daniel.hunter@polars.io,74270,7,2018-05-19
James Williams,HR,james.williams@polars.io,63517,10,2014-09-24
David Cohen,,david.cohen@polars.io,59667,7,2018-04-10
Ann Wagner,,ann.wagner@polars.io,62852,10,2015-01-05
Mr. Robert Castillo,,mr..castillo@polars.io,74553,6,2019-06-21
Sylvia Johnson,Finance,sylvia.johnson@polars.io,139762,2,2023-04-06
Mary Long,Engineering,mary.long@polars.io,173633,9,2015-11-27
Stacy Ward,Operations,stacy.ward@polars.io,100734,2,2023-06-06
Susan Peterson,HR,susan.peterson@polars.io,81799,10,2015-04-20
Amanda Rodriguez,Engineering,amanda.rodriguez@polars.io,127603,0,2024-11-27
Laura Rosales,Engineering,laura.rosales@polars.io,147444,2,2022-09-25
Edwin Cochran,Finance,edwin.cochran@polars.io,140766,7,2018-06-03
Christina Ware,Operations,christina.ware@polars.io,120270,6,2018-08-28
Latoya Smith,HR,latoya.smith@polars.io,86436,6,2018-11-16
Michelle Goodwin,HR,michelle.goodwin@polars.io,60305,0,2024-10-16
Eric Moore,Operations,eric.moore@polars.io,127884,5,2020-07-10
Briana Hart,Engineering,briana.hart@polars.io,189603,3,2022-07-08
Jessica Cox,Marketing,jessica.cox@polars.io,80270,10,2015-03-14
David Yates,Operations,david.yates@polars.io,125450,5,2020-02-09
Brittany Chang,Operations,brittany.chang@polars.io,86731,6,2018-11-03
Michael Hill,,michael.hill@polars.io,75061,2,2023-06-14
David Gill,Finance,david.gill@polars.io,125992,4,2021-02-19
Carlos Sawyer,,carlos.sawyer@polars.io,94097,9,2015-10-24
Pamela Butler,Engineering,pamela.butler@polars.io,176841,10,2015-05-12
Timothy Williams,Engineering,timothy.williams@polars.io,184248,5,2020-04-12
John Walker,Operations,john.walker@polars.io,139434,6,2019-07-09
Barry Hoffman,Operations,barry.hoffman@polars.io,94701,2,2023-03-31
Daniel Townsend,Marketing,daniel.townsend@polars.io,81436,9,2015-11-03
Alexander Brown,Operations,alexander.brown@polars.io,88071,5,2019-07-19
Alexis Yates,Marketing,alexis.yates@polars.io,131912,0,2025-01-05
Manuel Steele,Marketing,manuel.steele@polars.io,96763,8,2016-09-02
Ashley Black,Sales,ashley.black@polars.io,58143,10,2015-05-25
Jane Lee,Marketing,jane.lee@polars.io,134795,0,2025-06-22
Shelby Gentry,Marketing,shelby.gentry@polars.io,87588,6,2018-12-03
James Barrett,HR,james.barrett@polars.io,68099,8,2017-03-11
Makayla Wallace,HR,makayla.wallace@polars.io,70035,3,2021-07-27
Richard Gibson,Marketing,richard.gibson@polars.io,121308,0,2025-02-12
Kristie Bailey,HR,kristie.bailey@polars.io,66617,10,2014-10-26
Shawn Gray,Engineering,shawn.gray@polars.io,199381,2,2022-12-15
Stacey Ramos,Finance,stacey.ramos@polars.io,133751,8,2016-09-05
Ashley Parsons,Sales,ashley.parsons@polars.io,73527,1,2024-05-23
Keith Turner,HR,keith.turner@polars.io,73018,9,2016-04-07
Stephanie Olson,Finance,stephanie.olson@polars.io,154471,8,2017-04-06
Todd Bates,Engineering,todd.bates@polars.io,173707,4,2021-04-26
Rachel Hogan,Sales,rachel.hogan@polars.io,87529,3,2021-07-30
Marcus Duran,HR,marcus.duran@polars.io,81666,3,2022-07-16
